M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: before LicenseMgr Init : M=1443.92mb, Malloc-M=398mb, Available-M=742mb, T=0s CPU=0s W=(2023-11-26 02:16:17)
STATS:: after  LicenseMgr Init : M=1449.19mb, Malloc-M=398mb, Available-M=739mb, T=1s CPU=0.47s W=(2023-11-26 02:16:18)
M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: before VCS Read Task : M=1522.66mb, Malloc-M=435mb, Available-M=704mb, T=0s CPU=0s W=(2023-11-26 02:16:24)
STATS:: after  VCS Read Task : M=1522.66mb, Malloc-M=435mb, Available-M=722mb, T=1s CPU=0.57s W=(2023-11-26 02:16:25)
STATS:: before Load VCS Message: M=1522.66mb, Malloc-M=435mb, Available-M=723mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: after  Load VCS Message: M=1522.66mb, Malloc-M=435mb, Available-M=723mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: before NLDM Creation : M=1522.66mb, Malloc-M=435mb, Available-M=723mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: |   before LoadCircuitModel : M=1522.66mb, Malloc-M=435mb, Available-M=723mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: |   |   before VsiLib_Restore : M=1522.66mb, Malloc-M=435mb, Available-M=724mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: |   |   after  VsiLib_Restore : M=1522.66mb, Malloc-M=435mb, Available-M=724mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: |   after  LoadCircuitModel : M=1522.66mb, Malloc-M=435mb, Available-M=724mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: |   before BuildNetlist : M=1522.66mb, Malloc-M=435mb, Available-M=724mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: |   |   before NLDM Build : M=1522.66mb, Malloc-M=435mb, Available-M=724mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: |   |   after  NLDM Build : M=1537.7mb, Malloc-M=451mb, Available-M=709mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: |   |   before Cell properties : M=1537.7mb, Malloc-M=451mb, Available-M=709mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: |   |   after  Cell properties : M=1537.71mb, Malloc-M=451mb, Available-M=709mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: |   after  BuildNetlist : M=1537.71mb, Malloc-M=451mb, Available-M=709mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: after  NLDM Creation : M=1537.71mb, Malloc-M=451mb, Available-M=709mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: before PropertyLoad: Formal Property : M=1537.71mb, Malloc-M=452mb, Available-M=709mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: after  PropertyLoad: Formal Property : M=1537.71mb, Malloc-M=452mb, Available-M=709mb, T=0s CPU=0.01s W=(2023-11-26 02:16:25)
STATS:: before PropertyLoad: Formal Property : M=1537.71mb, Malloc-M=452mb, Available-M=709mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: after  PropertyLoad: Formal Property : M=1537.71mb, Malloc-M=452mb, Available-M=709mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: before PropertyLoad: Formal Property : M=1537.71mb, Malloc-M=452mb, Available-M=709mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: after  PropertyLoad: Formal Property : M=1537.71mb, Malloc-M=452mb, Available-M=709mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: before StaticCheck: StaticCheckProcess : M=1537.71mb, Malloc-M=452mb, Available-M=709mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: |   before StaticCheck: NldfgFlatDesign : M=1537.71mb, Malloc-M=452mb, Available-M=709mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: |   |   before StaticCheck: createFlatDesign : M=1537.71mb, Malloc-M=452mb, Available-M=709mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: |   |   after  StaticCheck: createFlatDesign : M=1545.72mb, Malloc-M=461mb, Available-M=701mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: |   |   before StaticCheck: legalize : M=1545.72mb, Malloc-M=461mb, Available-M=701mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: |   |   after  StaticCheck: legalize : M=1545.72mb, Malloc-M=461mb, Available-M=701mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: |   |   before StaticCheck: computeNetEquivalences : M=1545.72mb, Malloc-M=461mb, Available-M=701mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: |   |   after  StaticCheck: computeNetEquivalences : M=1545.72mb, Malloc-M=461mb, Available-M=701mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: |   |   before StaticCheck: eliminateBidirectionals : M=1545.72mb, Malloc-M=461mb, Available-M=701mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: |   |   after  StaticCheck: eliminateBidirectionals : M=1545.72mb, Malloc-M=461mb, Available-M=701mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: |   after  StaticCheck: NldfgFlatDesign : M=1545.72mb, Malloc-M=461mb, Available-M=701mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
STATS:: |   before StaticCheck: CombLoopCheck  : M=1545.72mb, Malloc-M=461mb, Available-M=701mb, T=0s CPU=0s W=(2023-11-26 02:16:25)
